Identifier,Approximate Zip Code,Reading Timestamp,Reading Day,Reading Time String,Concentration
Sensor 79057,94022,12/17/21 00:59:31,Friday,Night,5.64
Sensor 79057,94022,12/17/21 06:59:35,Friday,Morning,2.76
Sensor 79057,94022,12/17/21 12:59:38,Friday,Midday,1.25
Sensor 79057,94022,12/17/21 18:59:44,Friday,Evening,3.64
Sensor 79057,94022,12/18/21 00:59:49,Saturday,Night,1.21
Sensor 79057,94022,12/18/21 06:59:52,Saturday,Morning,6.56
Sensor 79057,94022,12/18/21 13:00:11,Saturday,Midday,19.87
Sensor 66409,94024,12/11/21 19:00:45,Saturday,Evening,35.14
Sensor 66409,94024,12/12/21 01:00:49,Sunday,Night,3.76
Sensor 66409,94024,12/12/21 07:00:53,Sunday,Morning,2.59
Sensor 66409,94024,12/12/21 13:00:57,Sunday,Midday,1.28
Sensor 66409,94024,12/12/21 18:59:01,Sunday,Evening,2.24
Sensor 66409,94024,12/13/21 00:59:05,Monday,Night,1.59
Sensor 66409,94024,12/13/21 06:59:09,Monday,Morning,0.0
Sensor 66409,94024,12/13/21 12:59:13,Monday,Midday,0.16
Sensor 66409,94024,12/13/21 18:59:17,Monday,Evening,1.63
Sensor 66409,94024,12/14/21 00:59:21,Tuesday,Night,1.24
Sensor 66409,94024,12/14/21 06:59:25,Tuesday,Morning,0.15
Sensor 66409,94024,12/14/21 12:59:29,Tuesday,Midday,0.34
Sensor 66409,94024,12/14/21 18:59:32,Tuesday,Evening,1.22
Sensor 66409,94024,12/15/21 00:59:36,Wednesday,Night,4.55
Sensor 66409,94024,12/15/21 06:59:40,Wednesday,Morning,0.63
Sensor 66409,94024,12/15/21 12:59:44,Wednesday,Midday,0.52
Sensor 66409,94024,12/15/21 18:59:48,Wednesday,Evening,0.0
Sensor 66409,94024,12/16/21 00:59:52,Thursday,Night,0.0
Sensor 66409,94024,12/16/21 07:00:02,Thursday,Morning,3.88
Sensor 66409,94024,12/16/21 13:00:08,Thursday,Midday,0.96
Sensor 66409,94024,12/16/21 19:00:10,Thursday,Evening,3.58
Sensor 66409,94024,12/17/21 01:00:14,Friday,Night,4.77
Sensor 66409,94024,12/17/21 07:00:17,Friday,Morning,2.82
Sensor 66409,94024,12/17/21 13:00:21,Friday,Midday,0.87
Sensor 66409,94024,12/17/21 19:00:25,Friday,Evening,9.46
Sensor 66409,94024,12/18/21 01:00:29,Saturday,Night,0.65
Sensor 66409,94024,12/18/21 07:00:33,Saturday,Morning,3.34
Sensor 66409,94024,12/18/21 13:00:37,Saturday,Midday,19.84
Sensor 70523,94304,12/11/21 18:59:45,Saturday,Evening,1.09
Sensor 70523,94304,12/12/21 00:59:49,Sunday,Night,2.09
Sensor 70523,94304,12/12/21 06:59:52,Sunday,Morning,2.37
Sensor 70523,94304,12/12/21 12:59:56,Sunday,Midday,0.58
Sensor 70523,94304,12/12/21 19:00:00,Sunday,Evening,0.0
Sensor 70523,94304,12/13/21 01:00:04,Monday,Night,0.0
Sensor 70523,94304,12/13/21 07:00:07,Monday,Morning,0.0
Sensor 70523,94304,12/13/21 13:00:11,Monday,Midday,0.32
Sensor 70523,94304,12/13/21 19:00:21,Monday,Evening,0.67
Sensor 70523,94304,12/14/21 01:00:25,Tuesday,Night,2.34
Sensor 70523,94304,12/14/21 07:00:28,Tuesday,Morning,0.0
Sensor 70523,94304,12/14/21 13:00:32,Tuesday,Midday,0.15
Sensor 70523,94304,12/14/21 19:00:36,Tuesday,Evening,0.47
Sensor 70523,94304,12/15/21 01:00:39,Wednesday,Night,0.0
Sensor 70523,94304,12/15/21 07:00:43,Wednesday,Morning,0.0
Sensor 70523,94304,12/15/21 13:00:47,Wednesday,Midday,0.0
